ECGEpoch,ECGTimestamp,ECGValue
1755694594.091621,20 Aug 2025 at 14:56:34,1017
1755694594.091621,20 Aug 2025 at 14:56:34,1001
1755694594.091621,20 Aug 2025 at 14:56:34,317
1755694594.091621,20 Aug 2025 at 14:56:34,-699
1755694594.091621,20 Aug 2025 at 14:56:34,-1001
1755694594.091621,20 Aug 2025 at 14:56:34,-460
1755694594.091621,20 Aug 2025 at 14:56:34,-158
1755694594.091621,20 Aug 2025 at 14:56:34,-217
1755694594.091621,20 Aug 2025 at 14:56:34,-118
1755694594.091621,20 Aug 2025 at 14:56:34,-38
1755694594.091621,20 Aug 2025 at 14:56:34,-81
1755694594.091621,20 Aug 2025 at 14:56:34,-54
1755694594.091621,20 Aug 2025 at 14:56:34,-2
1755694594.091621,20 Aug 2025 at 14:56:34,-6
1755694594.091621,20 Aug 2025 at 14:56:34,-4
1755694594.091621,20 Aug 2025 at 14:56:34,13
1755694594.091621,20 Aug 2025 at 14:56:34,13
1755694594.091621,20 Aug 2025 at 14:56:34,22
1755694594.091621,20 Aug 2025 at 14:56:34,52
1755694594.091621,20 Aug 2025 at 14:56:34,63
1755694594.6606588,20 Aug 2025 at 14:56:34,72
1755694594.6606588,20 Aug 2025 at 14:56:34,95
1755694594.6606588,20 Aug 2025 at 14:56:34,124
1755694594.6606588,20 Aug 2025 at 14:56:34,170
1755694594.6606588,20 Aug 2025 at 14:56:34,236
1755694594.6606588,20 Aug 2025 at 14:56:34,292
1755694594.6606588,20 Aug 2025 at 14:56:34,317
1755694594.6606588,20 Aug 2025 at 14:56:34,324
1755694594.6606588,20 Aug 2025 at 14:56:34,326
1755694594.6606588,20 Aug 2025 at 14:56:34,333
1755694594.6606588,20 Aug 2025 at 14:56:34,329
1755694594.6606588,20 Aug 2025 at 14:56:34,311
1755694594.6606588,20 Aug 2025 at 14:56:34,297
1755694594.6606588,20 Aug 2025 at 14:56:34,295
1755694594.6606588,20 Aug 2025 at 14:56:34,277
1755694594.6606588,20 Aug 2025 at 14:56:34,242
1755694594.6606588,20 Aug 2025 at 14:56:34,215
1755694594.6606588,20 Aug 2025 at 14:56:34,177
1755694594.6606588,20 Aug 2025 at 14:56:34,120
1755694594.6606588,20 Aug 2025 at 14:56:34,63
1755694594.6606588,20 Aug 2025 at 14:56:34,24
1755694594.6606588,20 Aug 2025 at 14:56:34,4
1755694594.6606588,20 Aug 2025 at 14:56:34,-11
1755694594.6606588,20 Aug 2025 at 14:56:34,-22
1755694594.6606588,20 Aug 2025 at 14:56:34,-24
1755694594.6606588,20 Aug 2025 at 14:56:34,-18
1755694594.6606588,20 Aug 2025 at 14:56:34,-18
1755694594.6606588,20 Aug 2025 at 14:56:34,-22
1755694594.6606588,20 Aug 2025 at 14:56:34,-15
1755694594.6606588,20 Aug 2025 at 14:56:34,-6
1755694594.6606588,20 Aug 2025 at 14:56:34,-13
1755694594.6606588,20 Aug 2025 at 14:56:34,-22
1755694594.6606588,20 Aug 2025 at 14:56:34,-24
1755694594.6606588,20 Aug 2025 at 14:56:34,-27
1755694594.6606588,20 Aug 2025 at 14:56:34,-34
1755694594.6606588,20 Aug 2025 at 14:56:34,-40
1755694594.6606588,20 Aug 2025 at 14:56:34,-47
1755694594.6606588,20 Aug 2025 at 14:56:34,-54
1755694594.6606588,20 Aug 2025 at 14:56:34,-65
1755694594.6606588,20 Aug 2025 at 14:56:34,-74
1755694594.6606588,20 Aug 2025 at 14:56:34,-74
1755694594.6606588,20 Aug 2025 at 14:56:34,-74
1755694594.6606588,20 Aug 2025 at 14:56:34,-90
1755694594.6606588,20 Aug 2025 at 14:56:34,-102
1755694594.6606588,20 Aug 2025 at 14:56:34,-99
1755694594.6606588,20 Aug 2025 at 14:56:34,-90
1755694594.6606588,20 Aug 2025 at 14:56:34,-84
1755694594.6606588,20 Aug 2025 at 14:56:34,-84
1755694594.6606588,20 Aug 2025 at 14:56:34,-86
1755694594.6606588,20 Aug 2025 at 14:56:34,-88
1755694594.6606588,20 Aug 2025 at 14:56:34,-99
1755694594.6606588,20 Aug 2025 at 14:56:34,-102
1755694594.6606588,20 Aug 2025 at 14:56:34,-93
