RREpoch,RRTimestamp,RRValue
1755694773.2507482,20 Aug 2025 at 14:59:33,0.7587890625
1755694773.2507482,20 Aug 2025 at 14:59:33,0.7470703125
1755694774.241041,20 Aug 2025 at 14:59:34,0.744140625
1755694775.230515,20 Aug 2025 at 14:59:35,0.7822265625
1755694776.251076,20 Aug 2025 at 14:59:36,0.826171875
1755694777.240437,20 Aug 2025 at 14:59:37,0.8994140625
1755694778.23111,20 Aug 2025 at 14:59:38,0.8896484375
1755694779.250764,20 Aug 2025 at 14:59:39,0.8740234375
1755694779.250764,20 Aug 2025 at 14:59:39,0.8623046875
1755694780.240645,20 Aug 2025 at 14:59:40,0.8310546875
1755694781.230802,20 Aug 2025 at 14:59:41,0.791015625
1755694782.2510881,20 Aug 2025 at 14:59:42,0.8095703125
1755694783.2407541,20 Aug 2025 at 14:59:43,0.8134765625
1755694783.2407541,20 Aug 2025 at 14:59:43,0.828125
1755694784.230723,20 Aug 2025 at 14:59:44,0.8466796875
1755694785.2810612,20 Aug 2025 at 14:59:45,0.7919921875
1755694786.2707071,20 Aug 2025 at 14:59:46,0.7861328125
1755694787.26088,20 Aug 2025 at 14:59:47,0.7744140625
1755694787.26088,20 Aug 2025 at 14:59:47,0.771484375
1755694788.250833,20 Aug 2025 at 14:59:48,0.7841796875
1755694789.240876,20 Aug 2025 at 14:59:49,0.79296875
1755694790.230845,20 Aug 2025 at 14:59:50,0.8857421875
1755694791.2508311,20 Aug 2025 at 14:59:51,0.8857421875
1755694792.241313,20 Aug 2025 at 14:59:52,0.9091796875
1755694793.230523,20 Aug 2025 at 14:59:53,0.9189453125
1755694794.250659,20 Aug 2025 at 14:59:54,0.88671875
1755694795.241142,20 Aug 2025 at 14:59:55,0.8955078125
1755694795.241142,20 Aug 2025 at 14:59:55,0.921875
1755694796.230875,20 Aug 2025 at 14:59:56,0.916015625
1755694797.2511,20 Aug 2025 at 14:59:57,0.9287109375
1755694798.2408571,20 Aug 2025 at 14:59:58,0.92578125
1755694799.230886,20 Aug 2025 at 14:59:59,0.9072265625
1755694800.2508888,20 Aug 2025 at 15:00:00,0.857421875
1755694801.2408628,20 Aug 2025 at 15:00:01,0.8701171875
1755694802.2304091,20 Aug 2025 at 15:00:02,0.8837890625
1755694802.2304091,20 Aug 2025 at 15:00:02,0.8828125
1755694803.250863,20 Aug 2025 at 15:00:03,0.8369140625
1755694804.240838,20 Aug 2025 at 15:00:04,0.8408203125
1755694805.230768,20 Aug 2025 at 15:00:05,0.85546875
1755694806.250547,20 Aug 2025 at 15:00:06,0.857421875
1755694807.242816,20 Aug 2025 at 15:00:07,0.8369140625
1755694807.242816,20 Aug 2025 at 15:00:07,0.7822265625
1755694808.232724,20 Aug 2025 at 15:00:08,0.787109375
1755694809.252232,20 Aug 2025 at 15:00:09,0.7939453125
1755694810.243362,20 Aug 2025 at 15:00:10,0.748046875
1755694810.243362,20 Aug 2025 at 15:00:10,0.7275390625
1755694811.2319489,20 Aug 2025 at 15:00:11,0.7470703125
